,sim_id,W01,AVE_p0,VE_p0,seed,scan_dict
0,143,0.001,3.290909090909091,4.2,2027,23032022_W01_AVEp0_VEp0_143
0,144,0.001,3.381818181818182,3.2,2022,23032022_W01_AVEp0_VEp0_144
0,145,0.001,3.381818181818182,3.2,2023,23032022_W01_AVEp0_VEp0_145
0,146,0.001,3.381818181818182,3.2,2024,23032022_W01_AVEp0_VEp0_146
0,147,0.001,3.381818181818182,3.2,2025,23032022_W01_AVEp0_VEp0_147
0,148,0.001,3.381818181818182,3.2,2026,23032022_W01_AVEp0_VEp0_148
0,149,0.001,3.381818181818182,3.2,2027,23032022_W01_AVEp0_VEp0_149
0,150,0.001,3.381818181818182,3.290909090909091,2022,23032022_W01_AVEp0_VEp0_150
0,151,0.001,3.381818181818182,3.290909090909091,2023,23032022_W01_AVEp0_VEp0_151
0,152,0.001,3.381818181818182,3.290909090909091,2024,23032022_W01_AVEp0_VEp0_152
0,153,0.001,3.381818181818182,3.290909090909091,2025,23032022_W01_AVEp0_VEp0_153
0,154,0.001,3.381818181818182,3.290909090909091,2026,23032022_W01_AVEp0_VEp0_154
0,155,0.001,3.381818181818182,3.290909090909091,2027,23032022_W01_AVEp0_VEp0_155
0,156,0.001,3.381818181818182,3.381818181818182,2022,23032022_W01_AVEp0_VEp0_156
0,157,0.001,3.381818181818182,3.381818181818182,2023,23032022_W01_AVEp0_VEp0_157
0,158,0.001,3.381818181818182,3.381818181818182,2024,23032022_W01_AVEp0_VEp0_158
0,159,0.001,3.381818181818182,3.381818181818182,2025,23032022_W01_AVEp0_VEp0_159
0,160,0.001,3.381818181818182,3.381818181818182,2026,23032022_W01_AVEp0_VEp0_160
0,161,0.001,3.381818181818182,3.381818181818182,2027,23032022_W01_AVEp0_VEp0_161
0,162,0.001,3.381818181818182,3.4727272727272727,2022,23032022_W01_AVEp0_VEp0_162
0,163,0.001,3.381818181818182,3.4727272727272727,2023,23032022_W01_AVEp0_VEp0_163
0,164,0.001,3.381818181818182,3.4727272727272727,2024,23032022_W01_AVEp0_VEp0_164
0,165,0.001,3.381818181818182,3.4727272727272727,2025,23032022_W01_AVEp0_VEp0_165
0,166,0.001,3.381818181818182,3.4727272727272727,2026,23032022_W01_AVEp0_VEp0_166
0,167,0.001,3.381818181818182,3.4727272727272727,2027,23032022_W01_AVEp0_VEp0_167
0,168,0.001,3.381818181818182,3.563636363636364,2022,23032022_W01_AVEp0_VEp0_168
0,169,0.001,3.381818181818182,3.563636363636364,2023,23032022_W01_AVEp0_VEp0_169
0,170,0.001,3.381818181818182,3.563636363636364,2024,23032022_W01_AVEp0_VEp0_170
0,171,0.001,3.381818181818182,3.563636363636364,2025,23032022_W01_AVEp0_VEp0_171
0,172,0.001,3.381818181818182,3.563636363636364,2026,23032022_W01_AVEp0_VEp0_172
